Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code_2;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date;f_is_exchanged;f_invc_full_name;КВАЛ;Торговый календарь
1;1;CK Hutchison Holdings Limited;Акции;Акции иностранного эмитента обыкновенные;;KYG217651051;ESVUFR;10,00;0,05;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
2;1113;CK Asset Holdings Limited;Акции;Акции иностранного эмитента обыкновенные;;KYG2177B1014;ESVUFR;10,00;0,05;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
3;1177;Sino Biopharmaceutical Limited ;Акции;Акции иностранного эмитента обыкновенные;;KYG8167W1380;ESVUFR;100,00;0,01;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
4;1810;Xiaomi Corporation;Акции;Акции иностранного эмитента обыкновенные класса B;;KYG9830T1067;ESVUFR;100,00;0,01;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
5;1928;Sands China Ltd.;Акции;Акции иностранного эмитента обыкновенные;;KYG7800X1079;ESVUFR;100,00;0,01;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
6;1COV@DE;Covestro AG;Акции;Акции иностранного эмитента обыкновенные;;DE0006062144;ESVUFB;1,00;0,01;EUR;01.03.2021 0:00:00;;;НЕТ;Эмитенты с листингом в ФРГ
7;2007;Country Garden Holdings Company Limited;Акции;Акции иностранного эмитента обыкновенные;;KYG245241032;ESRUFR;100,00;0,01;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
8;2382;Sunny Optical Technology (Group) Company Limited;Акции;Акции иностранного эмитента обыкновенные;;KYG8586D1097;ESVTFR;10,00;0,05;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
9;288;WH Group Limited;Акции;Акции иностранного эмитента обыкновенные;;KYG960071028;ESVUFR;100,00;0,01;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
10;3690;Meituan;Акции;Акции иностранного эмитента обыкновенные класса B;;KYG596691041;ESVUFR;10,00;0,1;HKD;20.06.2022 0:00:00;;;НЕТ;Эмитенты с листингом в HKEX
